Team,OVR Rating,OFF Rating,DEF Rating
Duchesne,9.15,4.10,5.05
Scott City,8.24,4.92,3.32
Blair Oaks,8.08,3.88,4.20
Centralia,7.59,4.17,3.43
Fair Grove,7.52,3.58,3.94
Fatima,5.67,1.99,3.68
Licking,4.67,2.07,2.61
Mid-Buchanan,4.29,2.00,2.30
Saxony Lutheran,3.89,1.31,2.59
Jefferson (Festus),3.55,1.27,2.28
Montgomery County,3.28,1.73,1.54
West Platte,3.16,0.30,2.86
Valley Park,3.03,0.09,2.95
Palmyra,2.96,2.73,0.23
Carrollton,2.95,1.82,1.13
Ava,2.94,0.67,2.27
St. Pius X (Festus),2.86,2.21,0.65
Holden,2.74,1.46,1.28
Lamar,2.53,1.63,0.89
South Callaway,2.28,0.42,1.86
Macon,2.14,-0.22,2.36
Priory,1.87,2.25,-0.38
Ash Grove,1.79,0.94,0.85
Lutheran North,1.63,1.28,0.34
Belle,1.56,0.03,1.53
Kelly,1.49,-0.80,2.28
Forsyth,1.47,0.08,1.39
Clark County,1.44,0.14,1.30
North Callaway,0.97,0.08,0.89
Houston,0.46,0.01,0.45
Lone Jack,0.41,0.56,-0.15
West County,0.31,0.42,-0.11
Diamond,0.27,0.12,0.15
Stockton,0.11,0.18,-0.07
Warsaw,-0.03,-0.04,0.01
El Dorado Springs,-0.04,-0.34,0.30
Conway,-0.24,0.02,-0.26
Lawson,-0.25,0.36,-0.60
Bowling Green,-0.32,-1.91,1.59
Dixon,-1.37,0.12,-1.49
Adrian,-1.98,0.28,-2.26
Cole Camp,-2.10,-1.62,-0.48
Cuba,-2.79,-1.73,-1.06
Thayer,-2.87,-0.59,-2.28
East Buchanan,-3.48,-0.89,-2.60
Sarcoxie,-3.63,-1.96,-1.67
Cameron,-3.75,-1.99,-1.75
Liberty (Mountain View),-3.75,-1.16,-2.58
Lathrop,-3.84,-1.88,-1.96
Trenton,-3.85,-0.94,-2.91
Mark Twain,-4.13,-0.64,-3.49
Elsberry,-4.17,-3.30,-0.87
Arcadia Valley,-4.22,-2.12,-2.10
East Prairie,-4.39,-2.48,-1.91
Pierce City,-4.52,-1.41,-3.11
Sparta,-4.63,-2.42,-2.22
Caruthersville with Hayti,-4.73,-2.93,-1.80
Versailles,-4.91,-2.42,-2.50
Twin Rivers,-5.64,-3.79,-1.84
Hermann,-5.66,-3.50,-2.15
Monroe City,-5.79,-2.07,-3.72
Seymour,-6.30,-3.63,-2.67
Lexington,-6.38,-3.40,-2.98
South Harrison,-6.53,-3.00,-3.53
Willow Springs,-7.62,-4.58,-3.04
Brookfield,-7.87,-3.36,-4.52
Southwest (Washburn),-8.59,-4.53,-4.06
Woodland,-8.70,-4.27,-4.43
Lafayette County,-9.34,-3.38,-5.95
Central (New Madrid County),-9.54,-5.00,-4.54
Butler,-9.89,-3.69,-6.20
Hancock,-9.93,-4.22,-5.70
Steelville,-11.02,-5.44,-5.59
Kingston,-11.53,-5.56,-5.97
Missouri Military Academy,-11.92,-5.90,-6.02
Highland,-12.11,-4.73,-7.39
Cabool,-12.13,-5.22,-6.90
Bourbon,-12.22,-7.41,-4.81
Clearwater,-13.17,-6.12,-7.06
Grandview (Hillsboro),-14.30,-4.45,-9.85
Stover,-15.40,-4.68,-10.72
Miller Career Academy,-26.22,-10.38,-15.84
