Team,OVR Rating,OFF Rating,DEF Rating
Logan-Rogersville,9.67,4.28,5.38
Springfield Catholic,9.46,5.01,4.45
Harrisonville,9.04,3.98,5.06
Southern Boone,8.97,4.40,4.56
Nevada,7.86,4.02,3.84
Orchard Farm,7.74,3.78,3.96
Excelsior Springs,7.03,2.76,4.27
Benton,6.92,2.93,3.99
Westminster Christian Academy,6.42,2.72,3.70
Seneca,6.34,2.77,3.56
Moberly,6.08,1.01,5.07
Aurora,5.90,3.27,2.63
St. Michael the Archangel,5.79,3.57,2.23
Boonville,5.72,2.56,3.16
North County,5.70,1.58,4.12
Mexico,5.69,2.65,3.05
Savannah,5.64,2.98,2.66
Notre Dame (Cape Girardeau),5.58,1.79,3.79
Helias Catholic,5.58,1.37,4.21
Hollister,5.49,2.37,3.13
Oak Grove,4.57,2.96,1.61
Chillicothe,4.53,2.91,1.62
Lutheran South,4.53,1.45,3.08
Pleasant Hill,4.44,2.43,2.01
Strafford,4.42,1.64,2.78
Pembroke Hill,4.33,2.79,1.54
Potosi,4.29,1.89,2.41
St. Charles West,3.85,1.94,1.91
Bolivar,3.68,2.07,1.61
Clayton,3.49,0.16,3.32
Sullivan,3.34,2.99,0.34
Kennett,2.99,1.68,1.32
Affton,2.63,2.35,0.28
Fulton,2.51,0.41,2.10
Herculaneum,2.51,1.71,0.80
Knob Noster,2.47,1.20,1.27
Dexter,2.45,-0.63,3.08
Odessa,2.07,0.45,1.62
St. Clair,1.91,-0.04,1.95
Marshall,1.68,1.64,0.04
Monett,1.59,-0.10,1.70
Wright City,1.56,0.42,1.14
Mt. Vernon,1.52,-0.02,1.54
Eldon,1.46,0.80,0.66
Clinton,1.20,0.45,0.76
St. Charles,1.11,0.51,0.60
Kirksville,1.03,0.32,0.71
Lutheran St. Charles,0.99,-0.20,1.19
Winfield,0.81,0.58,0.23
Ste. Genevieve,0.47,0.67,-0.20
Richmond,0.34,1.34,-1.00
Owensville,0.33,-0.93,1.26
Clever,0.30,0.12,0.18
Maryville,0.10,-0.85,0.95
Bayless,-0.18,-0.27,0.09
Lafayette (St. Joseph),-0.39,0.88,-1.28
Hallsville,-0.94,-0.65,-0.29
Reeds Spring,-1.05,-1.78,0.73
Central (Park Hills),-1.52,-1.38,-0.14
Cassville,-1.53,0.09,-1.62
East Newton,-1.57,-0.74,-0.83
Center,-1.83,-1.44,-0.39
Perryville,-2.06,-1.86,-0.20
Mountain Grove,-2.62,-1.61,-1.00
Doniphan,-2.65,-0.73,-1.91
Osage,-3.11,-1.27,-1.84
Principia with Whitfield,-3.30,-1.09,-2.21
California,-3.46,-0.96,-2.50
Salem,-5.78,-2.56,-3.21
Metro,-6.10,-2.07,-4.02
St. James,-6.37,-3.27,-3.10
Buffalo,-6.46,-2.62,-3.84
Maplewood-Richmond Hts.,-7.53,-2.68,-4.85
University Academy Charter with Ewing Marion Kauffman,-9.84,-3.42,-6.42
Fredericktown,-11.65,-4.16,-7.48
Cardinal Ritter,-14.40,-5.39,-9.01
STEAM Academy,-18.16,-8.39,-9.77
Central (Kansas City),-19.60,-7.04,-12.56
Gateway Science Charter,-19.93,-6.98,-12.95
Jennings,-22.48,-8.13,-14.35
Southeast,-25.31,-9.86,-15.45
