Team,OVR Rating,OFF Rating,DEF Rating
Blue Springs South,14.89,7.68,7.21
Liberty North,13.57,7.86,5.71
Eureka,13.01,5.03,7.98
Rockhurst,12.98,6.33,6.65
Staley,12.50,5.28,7.22
Lafayette (Wildwood),12.02,5.47,6.56
Liberty,11.68,4.88,6.80
Francis Howell,11.57,5.18,6.39
Marquette,11.56,5.57,5.99
Jackson,11.55,5.73,5.82
SLUH,11.49,4.72,6.76
Vianney,11.34,3.69,7.65
Kickapoo,11.13,4.27,6.86
Nixa,10.93,5.20,5.73
Lee's Summit,10.85,5.63,5.22
Lindbergh,10.78,4.60,6.18
Lee's Summit North,10.77,5.54,5.23
Francis Howell Central,10.40,4.09,6.31
Seckman,10.23,3.53,6.70
Raymore-Peculiar,10.19,5.42,4.77
Ft. Zumwalt West,9.90,4.28,5.62
Christian Brothers College,9.86,4.68,5.18
Rolla,9.75,4.98,4.77
Oakville,9.42,3.91,5.51
Rock Bridge,9.34,4.19,5.15
Ozark,8.92,3.83,5.10
Timberland,8.73,4.35,4.38
Glendale,8.68,4.37,4.32
Parkway South,8.65,4.11,4.55
Lee's Summit West,8.62,4.89,3.74
North Point,8.34,3.54,4.80
Joplin,8.24,2.39,5.85
Park Hill South,7.92,3.52,4.40
Francis Howell North,7.72,4.15,3.57
Hickman,7.70,2.75,4.95
Kirkwood,7.65,2.54,5.11
Grain Valley,7.61,3.40,4.21
Troy Buchanan,7.21,1.57,5.64
Liberty (Wentzville),6.94,2.58,4.36
Smith-Cotton,6.71,4.51,2.20
Blue Springs,6.31,3.54,2.77
Ft. Zumwalt North,6.25,3.08,3.17
Branson,6.23,2.21,4.03
Carthage,6.22,2.79,3.42
Park Hill,6.21,1.77,4.43
Republic,6.15,2.12,4.04
Battle with Columbia Independent,6.03,3.26,2.76
Neosho,5.93,3.27,2.66
Fort Osage,5.46,3.11,2.35
Central (St. Joseph),4.47,1.38,3.09
Ladue Horton Watkins,4.09,1.94,2.16
Parkway West,4.05,2.42,1.64
Truman,3.99,1.49,2.50
Oak Park,3.95,1.50,2.45
Northwest (Cedar Hill),3.84,2.53,1.30
Pattonville,3.47,1.38,2.09
Fox,2.73,1.02,1.72
Waynesville,0.16,0.62,-0.46
North Kansas City,-2.37,-0.55,-1.82
Hazelwood West,-3.63,0.36,-3.99
Ritenour,-5.23,-2.39,-2.84
Hazelwood Central,-12.61,-3.96,-8.66
