Team,OVR Rating,OFF Rating,DEF Rating
Northland Christian,6.38,2.55,3.84
Valle Catholic,5.45,2.93,2.51
St. Elizabeth,3.58,1.41,2.17
Rock Port,1.81,0.88,0.93
West Nodaway with Nodaway-Holt,0.07,0.55,-0.48
Atlanta,0.05,-0.53,0.58
Advance,-0.24,0.39,-0.63
Wellington-Napoleon,-0.32,0.60,-0.92
North Shelby,-0.34,-0.71,0.37
Vienna,-1.44,-0.73,-0.71
Cooter,-1.61,-1.59,-0.02
Oran,-2.21,-1.63,-0.58
Pilot Grove,-2.35,-2.46,0.11
Bell City,-2.43,-2.27,-0.16
Norwood,-2.89,-2.31,-0.58
Dadeville,-3.32,-1.83,-1.48
Sturgeon,-3.57,-1.25,-2.32
South Holt,-3.67,-1.49,-2.18
New Franklin,-3.82,-2.62,-1.20
Leopold,-4.10,-2.73,-1.37
Sweet Springs,-4.45,-2.80,-1.65
Northwest (Hughesville),-4.49,-2.57,-1.93
Wheatland,-4.59,-2.55,-2.04
Northeast (Cairo),-4.82,-2.91,-1.91
Naylor,-4.90,-1.92,-2.99
Lockwood,-4.95,-2.49,-2.46
Gilman City with North Daviess,-5.07,-1.89,-3.18
Oak Ridge,-5.18,-3.36,-1.82
South Iron,-5.24,-1.66,-3.58
South Pemiscot,-5.32,-3.37,-1.94
Billings,-5.35,-2.02,-3.33
North Harrison,-5.35,-3.49,-1.85
Community,-5.43,-2.97,-2.45
Albany,-5.53,-2.80,-2.73
Appleton City,-5.53,-2.76,-2.77
Walnut Grove,-5.65,-2.53,-3.12
Jamestown,-5.85,-3.51,-2.33
Concordia,-6.06,-2.51,-3.55
Delta,-6.29,-2.58,-3.71
La Plata,-6.35,-2.92,-3.42
Halfway,-6.55,-3.45,-3.09
Calvary Lutheran,-6.58,-4.75,-1.83
Valley,-6.60,-4.22,-2.38
Exeter,-6.76,-3.49,-3.27
Meadville with Linn County,-6.77,-3.26,-3.51
Wheaton,-6.88,-3.77,-3.11
Brashear with Novinger,-7.04,-3.90,-3.14
Hermitage,-7.12,-3.17,-3.94
Risco,-7.34,-4.31,-3.03
Christian Fellowship Sr.,-7.51,-3.72,-3.79
New Haven,-7.81,-4.09,-3.72
Glasgow,-8.01,-3.85,-4.16
Lakeland,-8.05,-4.48,-3.57
Kingsville,-8.19,-3.02,-5.17
Stoutland,-8.22,-4.95,-3.27
Galena,-8.55,-4.36,-4.19
Otterville,-8.82,-4.59,-4.23
Princeton,-8.83,-4.04,-4.79
North Andrew,-9.58,-4.77,-4.81
Osborn with Stewartsville,-9.99,-4.95,-5.03
Bismarck,-10.65,-4.97,-5.68
Ellington,-10.94,-4.08,-6.86
Braymer with Breckenridge,-11.12,-7.19,-3.93
Summersville,-11.23,-3.18,-8.05
Lutheran (Kansas City),-11.34,-4.51,-6.83
Higbee,-11.56,-6.05,-5.51
DeKalb,-11.84,-5.85,-5.99
Gideon,-11.89,-5.00,-6.89
Leeton,-11.92,-5.42,-6.50
Clarkton,-12.24,-5.08,-7.15
South Nodaway with Jefferson (Conception),-12.55,-5.93,-6.61
Hurley,-12.58,-5.32,-7.26
"Newtown-Harris with Grundy County, Tri-County",-12.83,-7.37,-5.46
Liberal,-13.16,-5.61,-7.54
Weaubleau,-13.28,-4.91,-8.37
Macks Creek,-13.33,-6.49,-6.83
Prairie Home with Bunceton,-13.52,-5.11,-8.41
Bevier,-13.82,-5.85,-7.97
"Tina-Avalon with Hale, Bosworth",-14.47,-6.38,-8.09
Pattonsburg with Winston,-14.55,-7.51,-7.04
Green City,-14.84,-5.94,-8.90
Wellsville-Middletown,-15.07,-6.49,-8.58
Climax Springs,-15.12,-7.31,-7.81
Montrose with Ballard,-15.12,-6.94,-8.19
Drexel,-15.76,-8.30,-7.45
Madison,-16.04,-6.99,-9.05
Miami (Amoret),-16.38,-9.96,-6.42
Chadwick,-16.94,-7.91,-9.04
Stanberry,-17.93,-7.69,-10.23
Bucklin with Macon County,-18.36,-8.17,-10.19
Marion County,-18.96,-8.72,-10.23
Scott County Central,-20.07,-6.71,-13.36
Delta (Deering),-20.53,-7.47,-13.07
Verona,-20.63,-8.10,-12.53
Bunker with Lesterville,-21.14,-8.65,-12.49
North Nodaway,-21.19,-8.34,-12.85
Viburnum,-22.49,-9.16,-13.33
Niangua,-26.65,-11.68,-14.97
