Team,OVR Rating,OFF Rating,DEF Rating
Faith Christian Academy,4.77,1.56,3.22
Gainesville,4.55,2.12,2.42
Salisbury,4.44,2.64,1.80
East Carter,4.02,0.61,3.41
Chaffee,3.72,1.42,2.30
Purdy,2.93,0.89,2.04
Silex,2.76,1.91,0.85
Russellville,2.63,0.98,1.65
Maysville,2.47,2.06,0.42
Crocker,2.41,1.77,0.65
Veritas Christian Academy,2.40,0.62,1.78
St. Paul Lutheran (Concordia),2.29,1.52,0.76
Eugene,2.17,0.62,1.55
Neelyville,2.11,0.71,1.40
Portageville,1.87,0.45,1.43
Alton,1.79,0.25,1.54
Greenville,1.44,1.25,0.20
Hartville,1.22,0.13,1.09
Bernie,1.12,1.38,-0.25
Tipton,1.03,0.10,0.93
Schuyler County,1.00,-0.95,1.95
Iberia,0.82,-1.63,2.45
Linn,0.51,-1.23,1.74
Fordland,0.42,-0.36,0.78
North Platte,0.22,1.47,-1.24
Plattsburg,-0.22,-0.52,0.29
Skyline,-0.59,-0.69,0.10
Miller,-0.81,-1.38,0.57
Windsor,-0.83,-0.14,-0.69
Sacred Heart,-0.92,-1.48,0.57
King City with Union Star,-0.93,-0.71,-0.22
Marceline,-1.03,-0.00,-1.03
Bakersfield,-1.12,-0.09,-1.03
Holcomb,-1.18,-1.61,0.43
St. Vincent,-1.28,-0.82,-0.46
Brentwood,-1.29,0.39,-1.68
Mansfield,-1.39,-1.60,0.21
New Bloomfield,-1.68,-1.16,-0.51
Sherwood,-1.72,-0.30,-1.42
Van Buren,-1.72,-0.51,-1.21
"Northwestern (Mendon) with Brunswick, Keytesville",-1.79,0.13,-1.93
Meadow Heights,-1.90,-1.03,-0.87
Fayette,-2.02,-1.18,-0.84
Barstow,-2.35,-1.45,-0.90
Westran,-2.45,-0.53,-1.92
Lincoln,-2.53,-1.11,-1.42
New Covenant Academy,-2.67,-0.79,-1.89
Gallatin,-3.03,-2.65,-0.38
Puxico,-3.05,-1.68,-1.36
Clopton,-3.73,-0.45,-3.28
Richland,-3.80,-2.15,-1.65
Marion C. Early,-4.16,-1.83,-2.32
Putnam County,-4.40,-1.87,-2.52
Scotland County,-4.40,-1.79,-2.61
Spokane,-4.57,-3.17,-1.40
Paris with Faith Walk,-4.76,-2.29,-2.47
Senath-Hornersville,-4.94,-3.64,-1.30
Pleasant Hope,-5.01,-3.01,-2.00
Green Ridge with La Monte,-5.06,-0.70,-4.36
Jasper,-5.09,-2.82,-2.26
Archie,-5.20,-2.90,-2.30
Bishop LeBlond,-5.65,-2.49,-3.17
Marionville,-5.79,-3.53,-2.26
New Heights Christian,-5.85,-2.01,-3.84
Northeast Nodaway with Worth County,-5.93,-2.14,-3.79
St. Joseph Christian,-6.22,-2.58,-3.64
Blue Eye,-6.48,-2.56,-3.92
"Tarkio with Fairfax, Craig",-6.76,-2.96,-3.81
Canton,-7.10,-3.45,-3.66
Bloomfield,-7.57,-3.71,-3.87
Slater,-7.80,-5.05,-2.75
Midway,-7.86,-2.13,-5.73
Santa Fe with Norborne,-8.21,-3.56,-4.65
Crystal City,-8.22,-2.84,-5.38
Campbell,-8.24,-4.72,-3.52
Harrisburg,-8.90,-3.26,-5.65
Greenwood,-9.30,-3.78,-5.52
Crest Ridge,-9.55,-4.03,-5.52
Polo,-9.78,-4.77,-5.01
Louisiana,-10.13,-3.64,-6.49
Knox County,-10.73,-5.78,-4.95
Penney,-10.80,-4.61,-6.20
Plato,-10.84,-4.60,-6.25
Charleston,-10.93,-3.53,-7.40
Crane,-11.95,-5.74,-6.21
Greenfield with Golden City,-12.19,-5.06,-7.13
Bishop DuBourg,-12.57,-6.41,-6.16
South Shelby,-12.75,-5.58,-7.17
Van-Far,-12.83,-2.83,-10.00
Malden,-13.92,-6.18,-7.73
Milan,-14.13,-6.60,-7.53
Winona,-15.48,-5.78,-9.70
Osceola,-17.09,-7.00,-10.09
Laquey,-17.38,-5.22,-12.16
Humansville with Fair Play,-21.07,-8.90,-12.17
Smithton,-22.70,-8.52,-14.17
